episode,epsilon
0,0.31622776601683794
1,0.4472135954999579
2,0.5477225575051661
3,0.6324555320336759
4,0.7071067811865475
5,0.7745966692414833
6,0.8366600265340755
7,0.8944271909999159
8,0.9486832980505138
9,0.9999999999999999
10,1.0488088481701514
11,1.0954451150103321
12,1.1401754250991378
13,1.1832159566199232
14,1.224744871391589
15,1.2649110640673518
16,1.3038404810405297
17,1.3416407864998738
18,1.3784048752090223
19,1.4142135623730951
20,1.449137674618944
21,1.4832396974191329
22,1.5165750888103104
23,1.549193338482967
24,1.58113883008419
25,1.6124515496597103
26,1.6431676725154987
27,1.6733200530681513
28,1.7029386365926404
29,1.7320508075688776
30,1.7606816861659014
31,1.7888543819998322
32,1.8165902124584954
33,1.843908891458578
34,1.870828693386971
35,1.897366596101028
36,1.923538406167135
37,1.9493588689617933
38,1.9748417658131505
39,2.0000000000000004
40,2.0248456731316593
41,2.0493901531919203
42,2.073644135332773
43,2.0976176963403037
44,2.1213203435596433
45,2.1447610589527226
46,2.167948338867881
47,2.190890230020665
48,2.2135943621178664
49,2.2360679774997907
50,2.2583179581272437
51,2.280350850198277
52,2.302172886644269
53,2.323790007724451
54,2.3452078799117158
55,2.3664319132398473
56,2.3874672772626653
57,2.40831891575846
58,2.428991560298225
59,2.449489742783179
60,2.4698178070456946
61,2.4899799195977477
62,2.5099800796022276
63,2.5298221281347044
64,2.5495097567963936
65,2.569046515733027
66,2.588435821108958
67,2.607680962081061
68,2.626785107312741
69,2.6457513110645916
70,2.664582518894847
71,2.683281572999749
72,2.7018512172212605
73,2.72029410174709
74,2.738612787525832
75,2.7568097504180455
76,2.774887385102323
77,2.7928480087537895
78,2.8106938645110406
79,2.828427124746191
80,2.846049894151543
81,2.8635642126552723
82,2.880972058177588
83,2.898275349237889
84,2.9154759474226517
85,2.9325756597230375
86,2.9495762407505266
87,2.9664793948382666
88,2.983286778035261
89,3.0000000000000013
90,3.0166206257996726
91,3.033150177620622
92,3.049590136395383
93,3.06594194335118
94,3.08220700148449
95,3.098386676965935
96,3.114482300479489
97,3.1304951684997073
98,3.1464265445104562
99,3.162277660168381
100,3.1780497164141424
101,3.193743884534264
102,3.2093613071762443
103,3.2249030993194214
104,3.240370349203932
105,3.255764119219943
106,3.271085446759227
107,3.2863353450309982
108,3.3015148038438373
109,3.3166247903554016
110,3.3316662497915384
111,3.346640106136304
112,3.361547262794324
113,3.3763886032268284
114,3.391164991562636
115,3.405877273185282
116,3.4205262752974157
117,3.4351128074635358
118,3.4496376621320697
119,3.464101615137756
120,3.478505426185219
121,3.492849839314598
122,3.5071355833500384
123,3.5213633723318036
124,3.5355339059327395
125,3.5496478698597715
126,3.563705936241094
127,3.577708763999665
128,3.5916569992135963
129,3.6055512754639913
130,3.6193922141707735
131,3.6331804249169917
132,3.646916505762096
133,3.6606010435446272
134,3.674234614174769
135,3.687817782917157
136,3.7013511046643517
137,3.714835124201344
138,3.7282703764614515
139,3.7416573867739435
140,3.7549966711037195
141,3.7682887362833566
142,3.7815340802378095
143,3.7947331922020573
144,3.807886552931956
145,3.820994634908562
146,3.834057902536165
147,3.847076812334271
148,3.8600518131237584
149,3.872983346207419
150,3.8858718455450916
151,3.8987177379235876
152,3.9115214431215914
153,3.9242833740697187
154,3.937003937005908
155,3.949683531626302
156,3.962322551231792
157,3.97492138287036
158,3.9874804074753794
159,4.000000000000002
160,4.012480529547778
161,4.024922359499624
162,4.037325847637272
163,4.0496913462633195
164,4.062019202317982
165,4.074309757492675
166,4.086563348340512
167,4.0987803063838415
168,4.110960958218896
169,4.123105625617662
170,4.135214625627069
171,4.1472882706655465
172,4.159326868617087
173,4.1713307229228445
174,4.1833001326703805
175,4.195235392680608
176,4.207136793592529
177,4.2190046219458
178,4.2308391602612385
179,4.242640687119287
180,4.254409477236532
181,4.26614580154031
182,4.2778499272414905
183,4.289522117905445
184,4.301162633521316
185,4.312771730569567
186,4.324349662087933
187,4.335896677735763
188,4.347413023856834
189,4.358898943540676
190,4.370354676682434
191,4.381780460041331
192,4.393176527297761
193,4.404543109109051
194,4.415880433163926
195,4.427188724235734
196,4.438468204234432
197,4.4497190922574
198,4.460941604639095
199,4.472135954999581
200,4.483302354291982
201,4.494441010848849
202,4.505552130427526
203,4.516635916254488
204,4.527692569068711
205,4.53872228716409
206,4.549725266430933
207,4.560701700396555
208,4.571651780264987
209,4.5825756949558425
210,4.593473631142343
211,4.604345773288538
212,4.615192303685733
213,4.626013402488153
214,4.636809247747855
215,4.647580015448903
216,4.658325879540849
217,4.669047011971504
218,4.679743582719039
219,4.690415759823432
220,4.701063709417266
221,4.711687595755901
222,4.72228758124704
223,4.732863826479695
224,4.743416490252572
225,4.753945729601888
226,4.7644516998286415
227,4.774934554525331
228,4.785394445602162
229,4.795831523312723
230,4.806245936279169
231,4.81663783151692
232,4.82700735445887
233,4.837354648979132
234,4.847679857416331
235,4.857983120596449
236,4.868264577855236
237,4.878524367060188
238,4.888762624632127
239,4.898979485566357
240,4.909175083453431
241,4.919349550499537
242,4.9295030175464944
243,4.9396356140913875
244,4.949747468305832
245,4.959838707054897
246,4.96990945591567
247,4.979959839195492
248,4.989989979949858
249,4.999999999999998
