episode,step,veh_id,T_tot_ms,deadline_ms,violation
0,0,0,250.0,250.0,0
0,0,1,250.0,250.0,0
0,0,2,250.0,250.0,0
0,0,3,250.0,250.0,0
0,0,4,250.0,250.0,0
0,0,5,250.0,250.0,0
0,0,6,250.0,250.0,0
0,0,7,250.0,250.0,0
0,0,8,250.0,250.0,0
0,0,9,250.0,250.0,0
0,0,10,250.0,250.0,0
0,0,11,250.0,250.0,0
0,0,12,250.0,250.0,0
0,0,13,250.0,250.0,0
0,0,14,250.0,250.0,0
0,0,15,250.0,250.0,0
0,1,0,15.823448582176475,250.0,0
0,1,1,9.526027865159854,250.0,0
0,1,2,2.7659981249259884,250.0,0
0,1,3,27.736950770497835,250.0,0
0,1,4,41.92148460789313,250.0,0
0,1,5,26.356887017904587,250.0,0
0,1,6,28.650287938224103,250.0,0
0,1,7,30.8500320848569,250.0,0
0,1,8,6.307261793117604,250.0,0
0,1,9,12.623956490389126,250.0,0
0,1,10,21.77448353631368,250.0,0
0,1,11,6.709391896084114,250.0,0
0,1,12,250.0,250.0,0
0,1,13,14.29842880687399,250.0,0
0,1,14,145.08281050753777,250.0,0
0,1,15,11.30835202838048,250.0,0
0,2,0,3.856409324231525,250.0,0
0,2,1,10.562901124800975,250.0,0
0,2,2,34.236551311449084,250.0,0
0,2,3,5.194760496460753,250.0,0
0,2,4,36.17739728490502,250.0,0
0,2,5,22.113668599923937,250.0,0
0,2,6,11.397048356630014,250.0,0
0,2,7,15.803814491645097,250.0,0
0,2,8,12.546110618980649,250.0,0
0,2,9,10.247500012003973,250.0,0
0,2,10,20.84366996586643,250.0,0
0,2,11,21.066003117297456,250.0,0
0,2,12,250.0,250.0,0
0,2,13,13.870481319151551,250.0,0
0,2,14,35.44157238366856,250.0,0
0,2,15,19.744348352998642,250.0,0
0,3,0,14.535917053904852,250.0,0
0,3,1,24.50435630376557,250.0,0
0,3,2,22.36636339771033,250.0,0
0,3,3,15.068235367209242,250.0,0
0,3,4,7.6490532541367235,250.0,0
0,3,5,63.24092804259813,250.0,0
0,3,6,19.20619061265902,250.0,0
0,3,7,16.490543336028093,250.0,0
0,3,8,16.54823614982535,250.0,0
0,3,9,25.162574833398597,250.0,0
0,3,10,25.03133398464932,250.0,0
0,3,11,24.984241241679914,250.0,0
0,3,12,27.601373349211702,250.0,0
0,3,13,4.150459976041601,250.0,0
0,3,14,1.9703223240215852,250.0,0
0,3,15,10.908036539811542,250.0,0
0,4,0,8.766193473252311,250.0,0
0,4,1,16.079777304330705,250.0,0
0,4,2,1.2027782333130763,250.0,0
0,4,3,27.637673640556486,250.0,0
0,4,4,250.0,250.0,0
0,4,5,28.9041779185666,250.0,0
0,4,6,20.353279886403303,250.0,0
0,4,7,5.555501477772702,250.0,0
0,4,8,13.745995114882266,250.0,0
0,4,9,14.138415107629125,250.0,0
0,4,10,75.19489942775712,250.0,0
0,4,11,0.5510387549605743,250.0,0
0,4,12,83.97605101549166,250.0,0
0,4,13,53.17650922651579,250.0,0
0,4,14,47.47815805004123,250.0,0
0,4,15,0.7134674239903913,250.0,0
0,5,0,250.0,250.0,0
0,5,1,27.956611765324617,250.0,0
0,5,2,2.991057242850722,250.0,0
0,5,3,10.596126004780718,250.0,0
0,5,4,38.01828410398758,250.0,0
0,5,5,233.4403937594679,250.0,0
0,5,6,35.42769101903201,250.0,0
0,5,7,5.458794574049864,250.0,0
0,5,8,87.85205140875907,250.0,0
0,5,9,9.153415361015213,250.0,0
0,5,10,78.86754606420284,250.0,0
0,5,11,176.05904095456816,250.0,0
0,5,12,17.799513794612533,250.0,0
0,5,13,10.730047387598901,250.0,0
0,5,14,7.432611814184199,250.0,0
0,5,15,69.60804337592943,250.0,0
0,6,0,30.248965605962447,250.0,0
0,6,1,17.712610589249135,250.0,0
